id,token,tag
0,В,O
1,статье,O
2,рассматривается,O
3,управляемое,O
4,движение,O
5,беспилотного,O
6,летательного,O
7,аппарата,O
8,(,O
9,БПЛА,O
10,),O
11,вертикального,O
12,взлета,O
13,и,O
14,посадки,O
15,",",O
16,типа,B-TERM
17,конвертоплан,O
18,",",O
19,с,O
20,тремя,O
21,управляемыми,O
22,приводами,O
23,",",O
24,причем,O
25,поворотными,O
26,являются,O
27,все,O
28,винты,O
29,с,O
30,двигателями,O
31,.,O
32,БПЛА,O
33,оснащен,O
34,стреловидным,O
35,крылом,O
36,",",O
37,расчет,B-TERM
38,аэродинамических,I-TERM
39,параметров,I-TERM
40,тяговых,I-TERM
41,осуществлялся,O
42,в,O
43,программном,B-TERM
44,пакете,I-TERM
45,XFLR5,O
46,с,O
47,учетом,O
48,массогабаритных,O
49,требований,O
50,.,O
51,Определены,O
52,коэффициенты,B-TERM
53,подъемной,I-TERM
54,силы,I-TERM
55,и,O
56,сопротивления,O
57,БПЛА,O
58,в,O
59,зависимости,O
60,от,O
61,угла,O
62,атаки,O
63,на,O
64,основании,O
65,вихревого,B-TERM
66,метода,I-TERM
67,",",O
68,выполнен,O
69,анализ,B-TERM
70,влияния,I-TERM
71,профиля,I-TERM
72,крыла,I-TERM
73,на,O
74,расчетные,O
75,аэродинамические,O
76,характеристики,O
77,.,O
78,Предложена,O
79,методика,B-TERM
80,синтеза,I-TERM
81,энергоэффективных,I-TERM
82,параметров,I-TERM
83,тяговых,O
84,усилий,O
85,винтов,O
86,электроприводов,O
87,",",O
88,обеспечивающих,O
89,снижение,O
90,энергопотребления,O
91,",",O
92,повышая,O
93,точность,B-TERM
94,системы,I-TERM
95,автоматического,I-TERM
96,управления,I-TERM
97,.,O
