id,token,tag
0,Статья,O
1,посвящена,O
2,описанию,O
3,результатов,O
4,проведенного,O
5,автором,B-TERM
6,исследования,I-TERM
7,сегмента,I-TERM
8,рынка,I-TERM
9,—,O
10,центров,B-TERM
11,ситуационного,I-TERM
12,управления,I-TERM
13,(,O
14,ЦСУ,O
15,),O
16,.,O
17,При,O
18,выполнении,B-TERM
19,исследований,I-TERM
20,использовались,O
21,маркетинговые,O
22,методы,B-TERM
23,исследования,I-TERM
24,:,O
25,сегментация,O
26,и,O
27,позиционирование,B-TERM
28,систем,I-TERM
29,.,O
30,Это,O
31,позволило,O
32,сделать,O
33,прогноз,B-TERM
34,развития,I-TERM
35,систем,I-TERM
36,и,O
37,облегчило,O
38,формализацию,O
39,типовых,B-TERM
40,архитектур,I-TERM
41,.,O
42,Приводится,O
43,оригинальное,O
44,определение,B-TERM
45,категории,I-TERM
46,.,O
47,Излагается,O
48,новая,O
49,система,B-TERM
50,классификации,I-TERM
51,ЦСУ,O
52,.,O
53,Дается,O
54,определение,B-TERM
55,категории,I-TERM
56,«,O
57,мобильная,B-TERM
58,среда,I-TERM
59,»,O
60,и,O
61,рассматриваются,O
62,типовые,O
63,решения,O
64,их,O
65,построения,O
66,.,O
