id,token,tag
0,Согласно,O
1,многим,O
2,исследованиям,B-TERM
3,",",O
4,профессиональные,O
5,социальные,O
6,сети,O
7,не,O
8,получили,O
9,широкого,O
10,распространения,O
11,в,O
12,среде,B-TERM
13,профессионалов,I-TERM
14,по,O
15,охране,B-TERM
16,здоровья,I-TERM
17,.,O
18,Специализированные,O
19,профессиональные,O
20,интернет,O
21,-,O
22,ресурсы,B-TERM
23,системы,I-TERM
24,электронного,I-TERM
25,обучения,I-TERM
26,широко,O
27,используемых,O
28,для,O
29,общения,B-TERM
30,социальных,I-TERM
31,сетей,I-TERM
32,.,O
33,С,O
34,одной,O
35,стороны,O
36,",",O
37,профессиональные,O
38,социальные,O
39,сети,O
40,для,O
41,области,B-TERM
42,здравоохранения,I-TERM
43,создаются,O
44,на,O
45,принципах,O
46,открытости,O
47,и,O
48,привлекательности,O
49,для,O
50,большого,O
51,числа,O
52,пользователей,O
53,",",O
54,с,O
55,другой,O
56,—,O
57,требуется,O
58,сохранение,O
59,профессиональных,O
60,этических,B-TERM
61,норм,I-TERM
62,в,O
63,области,O
64,охраны,O
65,здоровья,O
66,и,O
67,соблюдение,O
68,правил,O
69,доступа,O
70,на,O
71,основании,O
72,подтвержденной,O
73,квалификации,O
74,профессиональной,B-TERM
75,психологической,I-TERM
76,.,O
77,Разработка,O
78,специализированных,O
79,инструментов,O
80,направлена,O
81,на,O
82,привлечение,O
83,интереса,O
84,специалистов,O
85,.,O
86,Статья,O
87,посвящена,O
88,двум,O
89,цифровым,O
90,инструментам,O
91,для,O
92,профессиональных,O
93,социальных,O
94,сетей,O
95,.,O
96,Первым,O
97,инструментом,O
98,является,O
99,включение,O
100,в,O
101,интернет,O
102,-,O
103,ресурсы,O
104,системы,B-TERM
105,электронного,I-TERM
106,обучения,I-TERM
107,",",O
108,как,O
109,для,O
110,повышения,O
111,уровня,B-TERM
112,знаний,I-TERM
113,",",O
114,так,O
115,и,O
116,для,O
117,подтверждения,O
118,квалификационных,O
119,навыков,O
120,в,O
121,среде,B-TERM
122,профессионалов,I-TERM
123,.,O
124,Вторым,O
125,инструментом,O
126,является,O
127,разработанная,B-TERM
128,система,I-TERM
129,формирования,I-TERM
130,опросов,I-TERM
131,в,O
132,профессиональной,O
133,психологической,B-TERM
134,платформе,I-TERM
135,для,O
136,анализа,B-TERM
137,психического,I-TERM
138,здоровья,I-TERM
139,.,O
140,Приведены,O
141,принципы,O
142,построения,B-TERM
143,программного,I-TERM
144,обеспечения,I-TERM
145,и,O
146,примеры,O
147,использования,O
148,.,O
