id,token,tag
0,Современные,O
1,профессиональные,O
2,геоинформационные,B-TERM
3,системы,I-TERM
4,существенно,O
5,отстали,O
6,в,O
7,качестве,O
8,3D,O
9,-,O
10,графики,O
11,",",O
12,что,O
13,затрудняет,O
14,их,O
15,полноценное,O
16,применение,O
17,в,O
18,существующих,O
19,условиях,O
20,.,O
21,В,O
22,статье,O
23,рассмотрены,O
24,основные,O
25,отличия,O
26,принципов,O
27,работы,O
28,игровых,O
29,визуализаторов,O
30,графики,O
31,(,O
32,так,O
33,называемых,O
34,графических,O
35,движков,O
36,),O
37,от,O
38,принципов,O
39,построения,O
40,профессиональных,B-TERM
41,геоинформационных,I-TERM
42,систем,I-TERM
43,.,O
44,Данные,B-TERM
45,аспекты,I-TERM
46,препятствуют,O
47,построению,O
48,мощных,O
49,",",O
50,современных,O
51,с,O
52,графической,O
53,точки,B-TERM
54,зрения,I-TERM
55,",",O
56,геоинформационных,B-TERM
57,систем,I-TERM
58,.,O
59,Анализ,B-TERM
60,противоречий,I-TERM
61,",",O
62,рассмотренных,B-TERM
63,в,I-TERM
64,статье,O
65,",",O
66,позволит,O
67,минимизировать,O
68,их,O
69,при,O
70,применении,B-TERM
71,игровых,I-TERM
72,движков,I-TERM
73,(,O
74,например,O
75,",",O
76,Unity,O
77,),O
78,для,O
79,удешевления,O
80,и,O
81,ускорения,B-TERM
82,производства,I-TERM
83,современных,I-TERM
84,ГИС,O
85,нового,O
86,поколения,B-TERM
87,.,O
