id,token,tag
0,Приведены,O
1,результаты,O
2,испытаний,O
3,различных,O
4,алгоритмов,O
5,раскладки,O
6,на,O
7,плоскости,B-TERM
8,графа,I-TERM
9,электрической,I-TERM
10,представляющего,O
11,электрическую,B-TERM
12,сеть,I-TERM
13,.,O
14,Представлена,O
15,методика,O
16,автоматической,O
17,раскладки,O
18,графа,O
19,",",O
20,позволяющая,O
21,эффективно,O
22,выполнять,O
23,раскладку,B-TERM
24,графа,I-TERM
25,электрической,B-TERM
26,сети,I-TERM
27,большого,I-TERM
28,объема,I-TERM
29,.,O
30,Предложен,O
31,метод,B-TERM
32,кластеризации,I-TERM
33,графа,I-TERM
34,электрической,B-TERM
35,сети,I-TERM
36,с,O
37,учетом,B-TERM
38,проводимости,I-TERM
39,ветвей,I-TERM
40,и,O
41,неизвестном,O
42,заранее,O
43,количестве,B-TERM
44,кластеров,I-TERM
45,.,O
