id,token,tag
0,В,O
1,настоящее,B-TERM
2,время,I-TERM
3,российской,I-TERM
4,экономической,I-TERM
5,политикой,I-TERM
6,избрана,O
7,инновационная,O
8,модель,B-TERM
9,развития,I-TERM
10,венчурного,I-TERM
11,бизнеса,I-TERM
12,",",O
13,в,O
14,связи,O
15,с,O
16,чем,O
17,требуется,O
18,использование,O
19,новых,O
20,",",O
21,более,O
22,эффективных,O
23,инструментов,O
24,финансирования,O
25,инновационных,O
26,проектов,O
27,.,O
28,Одним,O
29,из,O
30,таких,O
31,инструментов,O
32,является,O
33,привлечение,B-TERM
34,венчурного,I-TERM
35,капитала,I-TERM
36,.,O
37,В,O
38,России,O
39,",",O
40,несмотря,O
41,на,O
42,неуклонное,O
43,развитие,B-TERM
44,российского,I-TERM
45,венчурного,I-TERM
46,бизнеса,B-TERM
47,",",O
48,механизма,O
49,государственно,O
50,-,O
51,частного,O
52,партнерства,O
53,",",O
54,на,O
55,сегодняшний,O
56,день,O
57,существует,O
58,ряд,O
59,факторов,O
60,",",O
61,тормозящих,O
62,развитие,B-TERM
63,российского,B-TERM
64,рынка,I-TERM
65,венчурного,I-TERM
66,капитала,I-TERM
67,.,O
68,Для,O
69,выявления,B-TERM
70,характера,I-TERM
71,влияния,I-TERM
72,различных,I-TERM
73,факторов,I-TERM
74,на,O
75,активность,B-TERM
76,венчурного,I-TERM
77,капитала,I-TERM
78,в,O
79,данной,B-TERM
80,работе,I-TERM
81,проводится,O
82,анализ,B-TERM
83,результатов,I-TERM
84,исследований,I-TERM
85,",",O
86,посвященных,O
87,изучению,O
88,детерминант,O
89,уровня,B-TERM
90,развития,I-TERM
91,венчурного,I-TERM
92,капитала,I-TERM
93,.,O
94,Для,O
95,проведения,B-TERM
96,анализа,I-TERM
97,были,O
98,сформированы,O
99,две,O
100,выборки,B-TERM
101,",",O
102,представляющие,O
103,собой,O
104,годовые,O
105,данные,B-TERM
106,по,I-TERM
107,России,O
108,и,O
109,США,O
110,за,O
111,период,O
112,с,O
113,1994,O
114,по,O
115,2012,O
116,гг,O
117,.,O
118,Моделирование,B-TERM
119,позволило,O
120,выявить,O
121,статистически,O
122,значимые,O
123,долгосрочные,O
124,связи,O
125,показателей,B-TERM
126,объема,I-TERM
127,венчурных,I-TERM
128,инвестиций,I-TERM
129,с,O
130,затратами,B-TERM
131,компаний,I-TERM
132,на,O
133,НИОКР,O
134,в,O
135,России,O
136,и,O
137,численностью,B-TERM
138,занятых,I-TERM
139,в,I-TERM
140,малом,O
141,бизнесе,B-TERM
142,в,O
143,США,O
144,.,O
