id,token,tag
0,В,O
1,данной,B-TERM
2,статье,I-TERM
3,рассматривается,O
4,понятие,O
5,перспективы,O
6,с,O
7,точки,B-TERM
8,зрения,I-TERM
9,геометрии,I-TERM
10,и,O
11,искусства,B-TERM
12,.,O
13,Представлены,O
14,различных,O
15,виды,O
16,перспектив,O
17,на,O
18,предмет,O
19,корректного,O
20,изображения,O
21,объектов,O
22,с,O
23,учетом,O
24,искажения,O
25,их,O
26,формы,O
27,",",O
28,размеров,O
29,и,O
30,расположения,O
31,в,O
32,пространстве,O
33,.,O
34,Исследуется,O
35,разработка,B-TERM
36,компьютерной,I-TERM
37,модели,I-TERM
38,",",O
39,позволяющей,O
40,пользователю,O
41,осуществлять,O
42,деформацию,O
43,привычных,O
44,перспектив,O
45,с,O
46,целью,B-TERM
47,корректного,I-TERM
48,отображения,I-TERM
49,объектов,I-TERM
50,или,O
51,достижения,O
52,желаемого,O
53,художественного,O
54,эффекта,O
55,.,O
