id,token,tag
0,Развиваются,O
1,игровые,B-TERM
2,методы,I-TERM
3,обучения,I-TERM
4,руководителей,I-TERM
5,",",O
6,аналитиков,O
7,и,O
8,специалистов,O
9,-,O
10,исследователей,O
11,в,O
12,интересах,B-TERM
13,выработки,I-TERM
14,решений,I-TERM
15,для,O
16,определенного,O
17,класса,B-TERM
18,управленческих,I-TERM
19,задач,I-TERM
20,в,O
21,сложных,O
22,антропогенных,O
23,системах,B-TERM
24,.,O
25,Дано,B-TERM
26,определение,B-TERM
27,деловой,I-TERM
28,игры,I-TERM
29,.,O
30,В,O
31,общем,B-TERM
32,формальном,I-TERM
33,виде,I-TERM
34,представлен,O
35,метод,B-TERM
36,деловой,I-TERM
37,игры,I-TERM
38,позволяющий,O
39,формировать,O
40,решения,O
41,из,O
42,набора,B-TERM
43,эвристических,I-TERM
44,правил,I-TERM
45,и,O
46,руководящих,O
47,принципов,O
48,",",O
49,вырабатывая,O
50,их,O
51,в,O
52,ходе,O
53,имитационно,B-TERM
54,-,O
55,игрового,B-TERM
56,эксперимента,I-TERM
57,с,O
58,предметной,B-TERM
59,моделью,I-TERM
60,путем,O
61,многократного,O
62,и,O
63,многостороннего,O
64,итерационного,O
65,проигрывания,O
66,теоретически,O
67,обоснованных,O
68,сценариев,O
69,.,O
70,Определены,O
71,состав,O
72,и,O
73,содержание,O
74,базовых,O
75,моделей,B-TERM
76,метода,I-TERM
77,деловой,I-TERM
78,игры,I-TERM
79,.,O
