id,token,tag
0,В,O
1,2009,O
2,г,O
3,.,O
4,были,O
5,опубликованы,O
6,две,O
7,статьи,O
8,",",O
9,заложившие,O
10,основы,O
11,трех,O
12,направлений,B-TERM
13,исследований,I-TERM
14,:,O
15,метода,B-TERM
16,обработки,I-TERM
17,количественных,I-TERM
18,числительных,I-TERM
19,форм,I-TERM
20,слов,I-TERM
21,естественных,I-TERM
22,языков,I-TERM
23,различных,I-TERM
24,количественных,O
25,числительных,O
26,и,O
27,линейных,B-TERM
28,нормальных,I-TERM
29,алгоритмов,I-TERM
30,.,O
31,С,O
32,момента,O
33,публикации,O
34,прошло,O
35,10,O
36,лет,O
37,.,O
38,Цель,B-TERM
39,работы,I-TERM
40,—,O
41,представить,O
42,текущее,O
43,состояние,B-TERM
44,этих,I-TERM
45,направлений,I-TERM
46,исследований,I-TERM
47,",",O
48,современный,O
49,взгляд,O
50,на,O
51,них,O
52,",",O
53,который,O
54,является,O
55,результатом,O
56,десятилетнего,O
57,переосмысления,O
58,",",O
59,и,O
60,дальнейшие,B-TERM
61,исследования,I-TERM
62,.,O
63,По,O
64,каждому,O
65,направлению,O
66,представлено,O
67,краткое,O
68,описание,O
69,",",O
70,существенные,O
71,отличия,O
72,от,O
73,аналогичных,O
74,подходов,O
75,и,O
76,дальнейшие,B-TERM
77,исследования,I-TERM
78,.,O
79,Метод,B-TERM
80,обработки,I-TERM
81,и,O
82,определения,B-TERM
83,форм,O
84,слов,O
85,позволяет,O
86,в,O
87,отличие,O
88,от,O
89,аналогов,O
90,обрабатывать,O
91,формы,B-TERM
92,слов,I-TERM
93,естественных,I-TERM
94,языков,I-TERM
95,различных,O
96,групп,O
97,и,O
98,семейств,B-TERM
99,.,O
100,Дальнейшие,B-TERM
101,исследования,I-TERM
102,в,O
103,этом,O
104,направление,O
105,состоят,O
106,в,O
107,повышении,O
108,скорости,B-TERM
109,определения,I-TERM
110,форм,I-TERM
111,слов,I-TERM
112,и,O
113,наполнении,O
114,словарей,O
115,.,O
116,Метод,B-TERM
117,обработки,I-TERM
118,количественных,I-TERM
119,числительных,I-TERM
120,отличается,O
121,использованием,B-TERM
122,перевода,I-TERM
123,с,O
124,промежуточным,O
125,представлением,B-TERM
126,.,O
127,Его,O
128,дальнейшие,B-TERM
129,исследования,I-TERM
130,связаны,O
131,с,O
132,увеличением,B-TERM
133,числа,I-TERM
134,языков,I-TERM
135,для,O
136,перевода,B-TERM
137,.,O
138,С,O
139,помощью,B-TERM
140,линейных,I-TERM
141,нормальных,I-TERM
142,алгоритмов,I-TERM
143,были,O
144,разработаны,O
145,алгоритмы,B-TERM
146,решения,I-TERM
147,задач,I-TERM
148,обращения,I-TERM
149,и,O
150,удвоения,O
151,с,O
152,линейной,O
153,трудоемкостью,B-TERM
154,.,O
155,Дальнейшие,B-TERM
156,исследования,I-TERM
157,направлены,O
158,на,O
159,выявление,O
160,других,O
161,ограничений,B-TERM
162,алгоритмических,I-TERM
163,моделей,I-TERM
164,.,O
165,Полученные,O
166,научные,O
167,результаты,O
168,легли,O
169,в,O
170,основу,O
171,докторской,O
172,и,O
173,кандидатской,O
174,диссертаций,O
175,.,O
