id,token,tag
0,Рассмотрены,O
1,свойства,B-TERM
2,суперпозиций,I-TERM
3,функций,I-TERM
4,.,O
5,Суперпозиции,O
6,или,O
7,композиции,B-TERM
8,функций,I-TERM
9,используются,O
10,в,O
11,методах,B-TERM
12,символьной,I-TERM
13,регрессии,I-TERM
14,",",O
15,которые,O
16,применяются,O
17,при,O
18,создании,B-TERM
19,вычислительных,I-TERM
20,методов,I-TERM
21,поиска,I-TERM
22,структур,I-TERM
23,математических,I-TERM
24,выражений,I-TERM
25,.,O
26,Приведены,O
27,примеры,O
28,решения,O
29,задач,B-TERM
30,общего,I-TERM
31,синтеза,I-TERM
32,управления,I-TERM
33,для,O
34,нелинейного,O
35,объекта,O
36,второго,B-TERM
37,порядка,I-TERM
38,.,O
39,Метод,B-TERM
40,символьной,I-TERM
41,регрессии,I-TERM
42,позволил,O
43,найти,O
44,такие,O
45,функции,B-TERM
46,управления,I-TERM
47,",",O
48,которые,O
49,обеспечили,O
50,свойства,B-TERM
51,аттрактора,O
52,двум,O
53,разным,O
54,терминальным,O
55,многообразиям,O
56,.,O
