id,token,tag
0,В,O
1,работе,O
2,на,O
3,примере,B-TERM
4,экономики,I-TERM
5,Санкт,O
6,-,O
7,Петербурга,O
8,рассмотрена,O
9,возможность,B-TERM
10,применения,I-TERM
11,различных,I-TERM
12,эконометрических,I-TERM
13,и,I-TERM
14,статистических,B-TERM
15,методов,I-TERM
16,для,O
17,мониторинга,O
18,порогов,O
19,ее,O
20,развития,B-TERM
21,.,O
22,Приведены,O
23,алгоритмы,O
24,подобных,B-TERM
25,методов,I-TERM
26,",",O
27,построены,O
28,модели,O
29,на,O
30,известных,B-TERM
31,данных,I-TERM
32,",",O
33,сделаны,O
34,прогнозы,B-TERM
35,на,O
36,будущий,O
37,интервал,B-TERM
38,времени,I-TERM
39,.,O
