id,token,tag
0,Коммуникации,O
1,служат,O
2,средой,B-TERM
3,для,O
4,интеграции,O
5,участников,O
6,проекта,O
7,",",O
8,трансформирующей,O
9,их,O
10,из,O
11,отдельных,O
12,исполнителей,O
13,в,O
14,единую,O
15,команду,B-TERM
16,.,O
17,По,O
18,мнению,O
19,практиков,B-TERM
20,проектного,I-TERM
21,управления,I-TERM
22,в,O
23,настоящее,B-TERM
24,время,I-TERM
25,существенным,O
26,фактором,O
27,успеха,O
28,становятся,O
29,коммуникации,O
30,и,O
31,отношения,O
32,между,O
33,участниками,O
34,.,O
35,Формальные,O
36,и,O
37,неформальные,O
38,связи,O
39,участников,O
40,проектной,O
41,сети,O
42,в,O
43,совокупности,O
44,образуют,O
45,коммуникационную,O
46,среду,B-TERM
47,проекта,I-TERM
48,.,O
49,Характер,B-TERM
50,и,O
51,структура,B-TERM
52,связей,I-TERM
53,влияют,O
54,на,O
55,эффективность,B-TERM
56,управления,I-TERM
57,проектом,I-TERM
58,",",O
59,и,O
60,",",O
61,следовательно,O
62,",",O
63,могут,O
64,служить,O
65,индикатором,B-TERM
66,успешности,I-TERM
67,проекта,I-TERM
68,.,O
69,В,O
70,работе,O
71,на,O
72,примере,O
73,инжиниринговых,O
74,проектов,O
75,был,O
76,рассмотрен,O
77,подход,O
78,",",O
79,использующий,O
80,методы,B-TERM
81,анализа,I-TERM
82,социальных,I-TERM
83,коммуникаций,I-TERM
84,для,O
85,оценки,B-TERM
86,влияния,I-TERM
87,социальных,I-TERM
88,коммуникаций,O
89,на,O
90,эффективность,O
91,проектного,O
92,менеджмента,O
93,.,O
